scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,4,204,lasso,5.0,,5065.98479119677,-2.4718392536271296,8.922987222671509,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0009908308162474878,36,10,10,26,0,4
B,4,204,lasso,10.0,,5035.755494929704,-2.469713937997984,6.139063119888306,1.0,0.7,0.6774193548387096,0.0,0.0006253199476217193,31,10,10,21,0,9
B,4,204,lasso,20.0,,5004.489854109297,-2.4701147145000064,4.7618982791900635,1.0,0.5,0.6,0.0,0.0007950460165672327,25,10,10,15,0,15
B,4,204,lasso,50.0,,4991.560471828485,-2.480155030936675,6.03342342376709,1.0,0.26666666666666666,0.4444444444444444,0.0,0.0027210938220600346,18,10,10,8,0,22
B,4,204,lasso,100.0,,5045.722848739314,-2.520909345321668,5.773286581039429,1.0,0.03333333333333333,0.09090909090909091,0.0,0.010443841592350572,11,10,10,1,0,29
B,4,204,lasso,200.0,,5276.691763028851,-2.616324063901907,4.1431050300598145,0.6,0.0,0.0,0.4,0.026381990738367507,6,10,6,0,4,30
B,4,204,enet,1.0,0.5,5091.91019194103,-2.4760676163995416,10.745752573013306,1.0,1.0,0.75,0.0,0.0017862890154612422,40,10,10,30,0,0
B,4,204,enet,2.0,0.5,5092.0325730687055,-2.475287229579737,10.737468957901001,1.0,1.0,0.75,0.0,0.0016199844315685453,40,10,10,30,0,0
B,4,204,enet,5.0,0.5,5079.022073200721,-2.4733415274402835,10.151695728302002,1.0,0.9333333333333333,0.7368421052631579,0.0,0.0012193434954808787,38,10,10,28,0,2
B,4,204,enet,10.0,0.5,5066.370923103954,-2.472062663062719,9.179935216903687,1.0,0.8666666666666667,0.7222222222222222,0.0,0.001037424917118725,36,10,10,26,0,4
B,4,204,enet,20.0,0.5,5037.521973055498,-2.469949907069999,6.228027582168579,1.0,0.7,0.6774193548387096,0.0,0.0006482346330552835,31,10,10,21,0,9
B,4,204,enet,50.0,0.5,5015.853991631045,-2.4732206801451775,7.163400650024414,1.0,0.5,0.6,0.0,0.0014287874706115965,25,10,10,15,0,15
B,4,204,enet,100.0,0.5,5012.8155964645675,-2.4857539074325095,5.236721754074097,1.0,0.26666666666666666,0.4444444444444444,0.0,0.004376854897233064,18,10,10,8,0,22
B,4,204,enet,200.0,0.5,5092.0694201860715,-2.5387973810748,5.905468225479126,0.9,0.03333333333333333,0.1,0.1,0.013749148637454772,10,10,9,1,1,29
B,1,301,none,0.0,,4039.8766123972623,-1.885109938947688,0.7549922466278076,1.0,1.0,0.75,0.0,0.003674007833306011,40,10,10,30,0,0
B,1,301,lasso,1.0,,4040.022084347479,-1.8836666101406954,0.7231452465057373,1.0,1.0,0.75,0.0,0.003342378260183379,40,10,10,30,0,0
B,1,301,lasso,2.0,,4026.652982911897,-1.8823487474060534,0.702033281326294,1.0,0.9333333333333333,0.7368421052631579,0.0,0.0030490003023581455,38,10,10,28,0,2
B,1,301,lasso,5.0,,4008.588264942225,-1.8793196934405978,0.6158361434936523,1.0,0.8333333333333334,0.7142857142857143,0.0,0.0024131019636778233,35,10,10,25,0,5
B,1,301,lasso,10.0,,3981.929544443822,-1.8762128648929093,0.6606354713439941,1.0,0.6666666666666667,0.6666666666666666,0.0,0.001870845076992826,30,10,10,20,0,10
